panel,series,r,r_to,value,status
a,B-S008,0.2,,28.80136035691861,energy_limited
a,B-S008,0.2005,,28.772318382874506,energy_limited
a,B-S008,0.201,,28.743203314942914,energy_limited
a,B-S008,0.2015,,28.714014862156056,energy_limited
a,B-S008,0.202,,28.68475273189392,energy_limited
a,B-S008,0.2025,,28.65541662987164,energy_limited
a,B-S008,0.203,,28.62600626012667,energy_limited
a,B-S008,0.2035,,28.596521325005817,energy_limited
a,B-S008,0.204,,28.56696152515225,energy_limited
a,B-S008,0.2045,,28.53732655949226,energy_limited
a,B-S008,0.205,,28.507616125222047,energy_limited
a,B-S008,0.2055,,28.477829917794097,energy_limited
a,B-S008,0.206,,28.447967630903744,energy_limited
a,B-S008,0.2065,,28.418028956475375,energy_limited
a,B-S008,0.207,,28.388013584648597,energy_limited
a,B-S008,0.2075,,28.357921203764203,energy_limited
a,B-S008,0.208,,28.32775150035002,energy_limited
a,B-S008,0.2085,,28.29750415910664,energy_limited
a,B-S008,0.209,,28.267178862892997,energy_limited
a,B-S008,0.2095,,28.236775292711698,energy_limited
a,B-S008,0.21,,28.20629312769437,energy_limited
a,B-S008,0.2105,,28.17573204508669,energy_limited
a,B-S008,0.211,,28.145091720233438,energy_limited
a,B-S008,0.2115,,28.114371826563183,energy_limited
a,B-S008,0.212,,28.083572035572995,energy_limited
a,B-S008,0.2125,,28.052692016812877,energy_limited
a,B-S008,0.213,,28.02173143787014,energy_limited
a,B-S008,0.2135,,27.990689964353457,energy_limited
a,B-S008,0.214,,27.959567259876952,energy_limited
a,B-S008,0.2145,,27.92836298604393,energy_limited
a,B-S008,0.215,,27.897076802430572,energy_limited
a,B-S008,0.2155,,27.865708366569365,energy_limited
a,B-S008,0.216,,27.834257333932413,energy_limited
a,B-S008,0.2165,,27.80272335791454,energy_limited
a,B-S008,0.217,,27.771106089816257,energy_limited
a,B-S008,0.2175,,27.739405178826456,energy_limited
a,B-S008,0.218,,27.707620272005002,energy_limited
a,B-S008,0.2185,,27.675751014265092,energy_limited
a,B-S008,0.219,,27.64379704835551,energy_limited
a,B-S008,0.2195,,27.611758014842465,energy_limited
a,B-S008,0.22,,27.57963355209156,energy_limited
a,B-S008,0.2205,,27.547423296249256,energy_limited
a,B-S008,0.221,,27.515126881224358,energy_limited
a,B-S008,0.2215,,27.48274393866911,energy_limited
a,B-S008,0.222,,27.450274097960257,energy_limited
a,B-S008,0.2225,,27.417716986179766,energy_limited
a,B-S008,0.223,,27.385072228095456,energy_limited
a,B-S008,0.2235,,27.35233944614123,energy_limited
a,B-S008,0.224,,27.3195182603973,energy_limited
a,B-S008,0.2245,,27.286608288570015,energy_limited
a,B-S008,0.225,,27.25360914597162,energy_limited
a,B-S008,0.2255,,27.220520445499606,energy_limited
a,B-S008,0.226,,27.187341797615996,energy_limited
a,B-S008,0.2265,,27.154072810326298,energy_limited
a,B-S008,0.227,,27.120713089158283,energy_limited
a,B-S008,0.2275,,27.087262237140425,energy_limited
a,B-S008,0.228,,27.053719854780226,energy_limited
a,B-S008,0.2285,,27.02008554004215,energy_limited
a,B-S008,0.229,,26.986358888325462,energy_limited
a,B-S008,0.2295,,26.952539492441662,energy_limited
a,B-S008,0.23,,26.91862694259175,energy_limited
a,B-S008,0.2305,,26.884620826343205,energy_limited
a,B-S008,0.231,,26.8505207286067,energy_limited
a,B-S008,0.2315,,26.81632623161251,energy_limited
a,B-S008,0.232,,26.782036914886735,energy_limited
a,B-S008,0.2325,,26.747652355227082,energy_limited
a,B-S008,0.233,,26.713172126678607,energy_limited
a,B-S008,0.2335,,26.67859580050888,energy_limited
a,B-S008,0.234,,26.643922945183135,energy_limited
a,B-S008,0.2345,,26.609153126338907,energy_limited
a,B-S008,0.235,,26.574285906760473,energy_limited
a,B-S008,0.2355,,26.539320846353036,energy_limited
a,B-S008,0.236,,26.504257502116456,energy_limited
a,B-S008,0.2365,,26.469095428118752,energy_limited
a,B-S008,0.237,,26.433834175469332,energy_limited
a,B-S008,0.2375,,26.39847329229183,energy_limited
a,B-S008,0.238,,26.363012323696562,energy_limited
a,B-S008,0.2385,,26.32745081175282,energy_limited
a,B-S008,0.239,,26.291788295460613,energy_limited
a,B-S008,0.2395,,26.256024310722303,energy_limited
a,B-S008,0.24,,26.220158390313628,energy_limited
a,B-S008,0.2405,,26.184190063854583,energy_limited
a,B-S008,0.241,,26.14811885777983,energy_limited
a,B-S008,0.2415,,26.11194429530881,energy_limited
a,B-S008,0.242,,26.075665896415394,energy_limited
a,B-S008,0.2425,,26.039283177797248,energy_limited
a,B-S008,0.243,,26.00279565284472,energy_limited
a,B-S008,0.2435,,25.96620283160946,energy_limited
a,B-S008,0.244,,25.92950422077257,energy_limited
a,B-S008,0.2445,,25.892699323612252,energy_limited
a,B-S008,0.245,,25.85578763997127,energy_limited
a,B-S008,0.2455,,25.81876866622385,energy_limited
a,B-S008,0.246,,25.78164189524215,energy_limited
a,B-S008,0.2465,,25.744406816362343,energy_limited
a,B-S008,0.247,,25.707062915350303,energy_limited
a,B-S008,0.2475,,25.669609674366754,energy_limited
a,B-S008,0.248,,25.632046571932044,energy_limited
a,B-S008,0.2485,,25.59437308289042,energy_limited
a,B-S008,0.249,,25.55658867837385,energy_limited
a,B-S008,0.2495,,25.51869282576542,energy_limited
a,B-S008,0.25,,25.480684988662144,energy_limited
a,B-S008,0.2505,,25.44256462683738,energy_limited
a,B-S008,0.251,,25.404331196202698,energy_limited
a,B-S008,0.2515,,25.365984148769314,energy_limited
a,B-S008,0.252,,25.327522932608904,energy_limited
a,B-S008,0.2525,,25.288946991813933,energy_limited
a,B-S008,0.253,,25.250255766457517,energy_limited
a,B-S008,0.2535,,25.211448692552725,energy_limited
a,B-S008,0.254,,25.172525202011222,energy_limited
a,B-S008,0.2545,,25.133484722601487,energy_limited
a,B-S008,0.255,,25.09432667790638,energy_limited
a,B-S008,0.2555,,25.05505048728025,energy_limited
a,B-S008,0.256,,25.015655565805243,energy_limited
a,B-S008,0.2565,,24.976141324247223,energy_limited
a,B-S008,0.257,,24.936507169010955,energy_limited
a,B-S008,0.2575,,24.896752502094802,energy_limited
a,B-S008,0.258,,24.856876721044546,energy_limited
a,B-S008,0.2585,,24.816879218906863,energy_limited
