panel,kind,col,row,east_m,north_m,los_height_m,s_from_km,s_to_km,height_m,time_s,distance_m,margin_db
b,edge,759.9909355548785,591,-26.239739590544296,-17.98591639097646,357.1958792220885,,,,,,
b,edge,760,590.9942484397155,-25.98161413614234,-17.808985410698394,357.188092872011,,,,,,
b,corner,760.0,591,-25.98161413614234,-17.98591639097646,357.1922646537041,,,,,,
b,vertex,760.9123816012349,590.4153252169921,0.0,0.0,356.40435791015625,,,,,,
b,edge,760.1234361275575,591,-22.466560969751274,-17.98591639097646,357.14304285157664,,,,,,
b,edge,758.414937969322,592,-71.11894483940374,-48.748174168733115,358.5496597081567,,,,,,
b,edge,759,591.6287671783003,-54.45831084006409,-37.32821441209811,358.04709195835164,,,,,,
b,edge,759,591.8325604189621,-54.45831084006409,-43.59735461473778,358.19490939719026,,,,,,
b,edge,758.7740612329906,592,-60.89230058178488,-48.748174168733115,358.40645451715284,,,,,,
b,edge,760,591.0914765259489,-25.98161413614234,-20.79994086288211,357.25861536158686,,,,,,
b,edge,756.8389403837652,593,-115.99815008972001,-79.51043194609632,359.9034401942248,,,,,,
b,edge,757,592.8978046554698,-111.41170424645074,-76.36667241411067,359.7650901310328,,,,,,
b,corner,757.0,593,-111.41170424645074,-79.51043194609632,359.83921552420395,,,,,,
b,edge,758,592.263285916885,-82.935007542529,-56.84744341310439,358.9060910446922,,,,,,
b,edge,758,592.5736443119753,-82.935007542529,-66.39476836620001,359.13120343279377,,,,,,
b,edge,757.4246863384236,593,-99.31804019381849,-79.51043194609632,359.6698661827289,,,,,,
b,edge,755.2629427982087,594,-160.87735533857946,-110.27268972385298,361.2572206802929,,,,,,
b,edge,756,593.5323233940545,-139.88840095037247,-95.88590141511695,360.62408921737335,,,,,,
b,corner,756.0,594,-139.88840095037247,-110.27268972385298,360.9633092909693,,,,,,
b,edge,757,593.3147282049886,-111.41170424645074,-89.19218211805568,360.0674974683973,,,,,,
b,edge,756.0753114438567,594,-137.74377980439527,-110.27268972385298,360.933277848305,,,,,,
b,edge,753.686945212652,595,-205.75656058743888,-141.03494750160962,362.6110011663611,,,,,,
b,edge,754,594.801360871224,-196.84179435675912,-134.92435941752294,362.34208739005453,,,,,,
b,corner,754.0,595,-196.84179435675912,-141.03494750160962,362.4861663947039,,,,,,
b,edge,755,594.1668421326393,-168.3650976528374,-115.40513041651667,361.483088303714,,,,,,
b,edge,755,594.7968959910149,-168.3650976528374,-134.78700962137358,361.94008553960407,,,,,,
b,edge,754.7259365492896,595,-176.16951941642887,-141.03494750160962,362.1966895138811,,,,,,
b,edge,756,594.0558120980018,-139.88840095037247,-111.98959586991135,361.0037915040007,,,,,,
b,edge,752.1109476270954,596,-250.63576583775517,-171.79720527936627,363.9647816524292,,,,,,
b,edge,753,595.4358796098088,-225.31849106068088,-154.44358841852923,363.2010864763952,,,,,,
b,corner,753.0,596,-225.31849106068088,-171.79720527936627,363.6102601614692,,,,,,
b,edge,754,595.5379798840281,-196.84179435675912,-157.58442337322927,362.8763795752076,,,,,,
b,edge,753.3765616547225,596,-214.5952590284625,-171.79720527936627,363.4601011794573,,,,,,
b,edge,750.5349500415388,597,-295.5149710866146,-202.5594630567295,365.3185621384973,,,,,,
b,edge,751,596.7049170869783,-282.27188446706754,-193.48204642093523,364.91908464907635,,,,,,
b,corner,751.0,597,-282.27188446706754,-202.5594630567295,365.13311726520385,,,,,,
b,edge,752,596.0703983483935,-253.79518776460262,-173.9628174195355,364.0600855627357,,,,,,
b,corner,752.0,597,-253.79518776460262,-202.5594630567295,364.73435392823444,,,,,,
b,edge,753,596.2790637770414,-225.31849106068088,-180.38183712508493,363.8126736108111,,,,,,
b,edge,752.0271867601557,597,-253.0209986404961,-202.5594630567295,364.7235128450334,,,,,,
b,edge,748.9589524559822,598,-340.39417633547407,-233.32172083448614,366.67234262456543,,,,,,
b,edge,749,597.9739545641478,-339.225277874911,-232.52050442294777,366.63708282175764,,,,,,
b,corner,749.0,598,-339.225277874911,-233.32172083448614,366.6559743689385,,,,,,
