record,task,type,from,to,route_kind,from_lon,from_lat,to_lon,to_lat
leg,Q2-001,B,O01,S001,single,109.2308517,23.0085095,109.2432319,23.0335927
leg,Q2-001,B,S001,O01,single,109.2432319,23.0335927,109.2308517,23.0085095
leg,Q2-002,A,O01,S006,single,109.2308517,23.0085095,109.1997836,23.007714
leg,Q2-002,A,S006,O01,single,109.1997836,23.007714,109.2308517,23.0085095
leg,Q2-003,A,O01,S014,multi,109.2308517,23.0085095,109.2835966,23.0052097
leg,Q2-003,A,S014,S010,multi,109.2835966,23.0052097,109.2760168,23.0194009
leg,Q2-003,A,S010,O01,multi,109.2760168,23.0194009,109.2308517,23.0085095
leg,Q2-004,A,O01,S005,single,109.2308517,23.0085095,109.2283003,23.0561338
leg,Q2-004,A,S005,O01,single,109.2283003,23.0561338,109.2308517,23.0085095
leg,Q2-005,B,O01,S012,single,109.2308517,23.0085095,109.2831357,23.054464
leg,Q2-005,B,S012,O01,single,109.2831357,23.054464,109.2308517,23.0085095
leg,Q2-006,A,O01,S015,single,109.2308517,23.0085095,109.1923786,23.0494548
leg,Q2-006,A,S015,O01,single,109.1923786,23.0494548,109.2308517,23.0085095
leg,Q2-007,B,O01,S002,single,109.2308517,23.0085095,109.2585519,23.0703271
leg,Q2-007,B,S002,O01,single,109.2585519,23.0703271,109.2308517,23.0085095
leg,Q2-008,A,O01,S007,multi,109.2308517,23.0085095,109.1928191,23.0294186
leg,Q2-008,A,S007,S015,multi,109.1928191,23.0294186,109.1923786,23.0494548
leg,Q2-008,A,S015,O01,multi,109.1923786,23.0494548,109.2308517,23.0085095
leg,Q2-009,C,O01,S001,single,109.2308517,23.0085095,109.2432319,23.0335927
leg,Q2-009,C,S001,O01,single,109.2432319,23.0335927,109.2308517,23.0085095
leg,Q2-010,B,O01,S008,single,109.2308517,23.0085095,109.2127472,23.0795113
leg,Q2-010,B,S008,O01,single,109.2127472,23.0795113,109.2308517,23.0085095
leg,Q2-011,A,O01,S007,single,109.2308517,23.0085095,109.1928191,23.0294186
leg,Q2-011,A,S007,O01,single,109.1928191,23.0294186,109.2308517,23.0085095
leg,Q2-012,A,O01,S013,multi,109.2308517,23.0085095,109.2713839,23.0310882
leg,Q2-012,A,S013,S009,multi,109.2713839,23.0310882,109.2541424,23.0552989
leg,Q2-012,A,S009,O01,multi,109.2541424,23.0552989,109.2308517,23.0085095
leg,Q2-013,A,O01,S013,multi,109.2308517,23.0085095,109.2713839,23.0310882
leg,Q2-013,A,S013,S014,multi,109.2713839,23.0310882,109.2835966,23.0052097
leg,Q2-013,A,S014,O01,multi,109.2835966,23.0052097,109.2308517,23.0085095
leg,Q2-014,A,O01,S005,single,109.2308517,23.0085095,109.2283003,23.0561338
leg,Q2-014,A,S005,O01,single,109.2283003,23.0561338,109.2308517,23.0085095
leg,Q2-015,C,O01,S006,single,109.2308517,23.0085095,109.1997836,23.007714
leg,Q2-015,C,S006,O01,single,109.1997836,23.007714,109.2308517,23.0085095
leg,Q2-016,C,O01,S002,single,109.2308517,23.0085095,109.2585519,23.0703271
leg,Q2-016,C,S002,O01,single,109.2585519,23.0703271,109.2308517,23.0085095
leg,Q2-017,A,O01,S003,single,109.2308517,23.0085095,109.1688578,23.0402714
leg,Q2-017,A,S003,O01,single,109.1688578,23.0402714,109.2308517,23.0085095
leg,Q2-018,B,O01,S005,single,109.2308517,23.0085095,109.2283003,23.0561338
leg,Q2-018,B,S005,O01,single,109.2283003,23.0561338,109.2308517,23.0085095
leg,Q2-019,C,O01,S001,multi,109.2308517,23.0085095,109.2432319,23.0335927
leg,Q2-019,C,S001,S010,multi,109.2432319,23.0335927,109.2760168,23.0194009
leg,Q2-019,C,S010,O01,multi,109.2760168,23.0194009,109.2308517,23.0085095
leg,Q2-020,C,O01,S007,multi,109.2308517,23.0085095,109.1928191,23.0294186
leg,Q2-020,C,S007,S003,multi,109.1928191,23.0294186,109.1688578,23.0402714
leg,Q2-020,C,S003,O01,multi,109.1688578,23.0402714,109.2308517,23.0085095
leg,Q2-021,B,O01,S008,single,109.2308517,23.0085095,109.2127472,23.0795113
leg,Q2-021,B,S008,O01,single,109.2127472,23.0795113,109.2308517,23.0085095
leg,Q2-022,A,O01,S009,single,109.2308517,23.0085095,109.2541424,23.0552989
leg,Q2-022,A,S009,O01,single,109.2541424,23.0552989,109.2308517,23.0085095
leg,Q2-023,B,O01,S011,single,109.2308517,23.0085095,109.2203356,23.0319231
leg,Q2-023,B,S011,O01,single,109.2203356,23.0319231,109.2308517,23.0085095
leg,Q2-024,C,O01,S004,single,109.2308517,23.0085095,109.2381714,23.0778414
leg,Q2-024,C,S004,O01,single,109.2381714,23.0778414,109.2308517,23.0085095
node,,,O01,,,109.2308517,23.0085095,,
node,,,S001,,,109.2432319,23.0335927,,
node,,,S002,,,109.2585519,23.0703271,,
node,,,S003,,,109.1688578,23.0402714,,
node,,,S004,,,109.2381714,23.0778414,,
node,,,S005,,,109.2283003,23.0561338,,
node,,,S006,,,109.1997836,23.007714,,
node,,,S007,,,109.1928191,23.0294186,,
node,,,S008,,,109.2127472,23.0795113,,
node,,,S009,,,109.2541424,23.0552989,,
node,,,S010,,,109.2760168,23.0194009,,
node,,,S011,,,109.2203356,23.0319231,,
node,,,S012,,,109.2831357,23.054464,,
node,,,S013,,,109.2713839,23.0310882,,
node,,,S014,,,109.2835966,23.0052097,,
node,,,S015,,,109.1923786,23.0494548,,
