question,resource,kind,task,drone,start,return,soc,turn_end,ready,charge_or_turn_s
Q2,B-BAT-01,B,Q2-001,U05,0.0,1209.1061758262158,0.7315069355911348,1209.1061758262158,2341.1608208015823,1132.0546449753665
Q2,A-BAT-01,A,Q2-002,U01,0.0,1313.476639779827,0.7085486023374317,1313.476639779827,2192.363456741166,878.8868169613388
Q2,A-BAT-02,A,Q2-003,U02,0.0,2315.3390745991514,0.433386016153805,2315.3390745991514,3551.937253599205,1236.5981790000537
Q2,A-BAT-03,A,Q2-004,U03,0.0,1692.188198238037,0.5286029822002105,1692.188198238037,2805.0043213777635,1112.8161231397264
Q2,B-BAT-02,B,Q2-005,U06,0.0,1922.826814149187,0.3118500114275169,1922.826814149187,3782.286794341491,1859.4599801923039
Q2,A-BAT-04,A,Q2-006,U04,0.0,1968.6530565810065,0.4316035663328588,1968.6530565810065,3207.56842034829,1238.9153637672837
Q2,C-BAT-01,C,Q2-009,U07,0.0,1560.175045862023,0.6255280243869162,1560.175045862023,3204.8643263570375,1644.6892804950146
Q2,C-BAT-02,C,Q2-015,U08,0.0,1429.5526244866223,0.7090288124609332,1429.5526244866223,2893.323530821267,1463.7709063346447
Q2,B-BAT-03,B,Q2-007,U05,1209.1061758262156,3025.830257133973,0.32163176468950305,3025.830257133973,4868.335198338835,1842.5049412048616
Q2,A-BAT-05,A,Q2-008,U01,1313.4766397798273,3623.5225484477814,0.4141276259167094,3623.5225484477814,4885.156634756059,1261.6340863082778
Q2,C-BAT-03,C,Q2-016,U08,1429.5526244866223,3471.394790511177,0.2848304745067569,3471.394790511177,5854.262095746537,2382.86730523536
Q2,C-BAT-04,C,Q2-019,U07,1560.1750458620231,3880.9335583384536,0.39367397477421673,3880.9335583384536,6027.973279660984,2147.0397213225306
Q2,A-BAT-06,A,Q2-011,U03,1692.1881982380369,3419.6550841298185,0.562008109850636,3419.6550841298185,4489.044541323991,1069.3894571941728
Q2,B-BAT-04,B,Q2-010,U06,1922.8268141491867,3824.668561324889,0.30914219869165727,3824.668561324889,5688.822083592683,1864.153522267794
Q2,A-BAT-01,A,Q2-012,U04,2192.3634567411664,4380.108956053008,0.3903495218478057,4380.108956053008,5672.654577650861,1292.545621597853
Q2,A-BAT-03,A,Q2-013,U02,2805.0043213777635,5150.305480067565,0.39159400107012055,5150.305480067565,6441.233278676409,1290.9277986088437
Q2,B-BAT-01,B,Q2-018,U05,3025.8302571339727,4541.998676401486,0.5413774240419077,4541.998676401486,6003.611141395512,1461.6124649940266
Q2,A-BAT-04,A,Q2-014,U03,3419.6550841298185,5111.843282367856,0.512678329294949,5111.843282367856,6245.361454284422,1133.5181719165657
Q2,C-BAT-02,C,Q2-020,U08,3471.394790511177,6165.075957015793,0.23733967189594385,6165.075957015793,8650.84000124125,2485.764044225456
Q2,A-BAT-02,A,Q2-017,U01,3623.5225484477814,5886.259779078042,0.31471618205517615,5886.259779078042,7277.128742406313,1390.868963328271
Q2,B-BAT-02,B,Q2-021,U06,3824.6685613248897,5786.510308500592,0.2561982813644418,5786.510308500592,7742.433287468893,1955.9229789683004
Q2,C-BAT-01,C,Q2-024,U07,3880.933558338453,6181.988277110899,0.23089248385317718,6181.988277110899,8681.721228762348,2499.732951651449
Q2,A-BAT-06,A,Q2-022,U04,4489.044541323991,6177.684187212316,0.48192139989814464,6177.684187212316,7351.186367344728,1173.502180132412
Q2,B-BAT-03,B,Q2-023,U05,4868.335198338835,6056.7599611993555,0.7315158284012242,6056.7599611993555,7188.799191970567,1132.0392307712118
Q3,B-BAT-01,B,Q3-001,U05,0.0,1922.826814149187,0.3118500114275169,1922.826814149187,3782.286794341491,1859.4599801923039
Q3,C-BAT-01,C,Q3-002,U07,0.0,1668.732364995061,0.5962417253509846,1668.732364995061,3376.875293401261,1708.1429284061999
Q3,B-BAT-02,B,Q3-003,U06,0.0,1869.7476752786913,0.46492725546455294,1869.7476752786913,3463.8737658067994,1594.126090528108
Q3,A-BAT-02,A,Q3-008,U02,0.0,1313.476639779827,0.7085486023374317,1313.476639779827,2192.363456741166,878.8868169613388
Q3,A-BAT-03,A,Q3-010,U03,0.0,1250.9069627433814,0.7150359074575421,1250.9069627433814,2121.3602830485765,870.4533203051951
Q3,A-BAT-04,A,Q3-011,U04,0.0,1250.9069627433814,0.7150359074575421,1250.9069627433814,2121.3602830485765,870.4533203051951
Q3,C-BAT-02,C,Q3-G3-1,U08,0.0,2107.8421660245544,0.2683491959994795,2107.8421660245544,4526.418908025682,2418.5767420011275
Q3,A-BAT-01,A,Q3-H2-2,U01,0.0,1612.162817229484,0.5787290626382378,1612.162817229484,2659.8150357997747,1047.6522185702906
