resource,series,time_s,count_from_time
drone_B,all,0.0,2
drone_B,all,1869.7476752786913,2
drone_B,all,1922.826814149187,1
drone_B,all,2163.9990812094743,2
drone_B,all,3077.0176866468237,1
drone_B,all,3463.8737758067996,2
drone_B,all,3740.308721270556,1
drone_B,all,3782.286804341491,2
drone_B,all,4652.29853866732,1
drone_B,all,4652.29854866732,2
drone_B,all,5610.614364515151,1
drone_B,all,6672.908213705382,0
drone_B,all,7060.419207088513,1
drone_B,all,8618.882071422871,0
drone_B,G1,0.0,2
drone_B,G1,1869.7476752786913,2
drone_B,G1,1922.826814149187,1
drone_B,G1,2163.9990812094743,2
drone_B,G1,3077.0176866468237,1
drone_B,G1,3740.308721270556,0
drone_B,G1,3782.286804341491,1
drone_B,G1,4652.29854866732,2
drone_B,G1,5610.614364515151,1
drone_B,G1,6672.908213705382,0
drone_B,G1,7060.419207088513,1
drone_B,G1,8618.882071422871,0
drone_B,G2,3463.8737758067996,1
drone_B,G2,4652.29853866732,0
battery_B,all,0.0,2
battery_B,all,1869.7476752786913,3
battery_B,all,2163.9990812094743,4
battery_B,all,3463.8737658067994,3
battery_B,all,3463.8737758067996,4
battery_B,all,3782.286794341491,3
battery_B,all,3782.286804341491,4
battery_B,all,4236.868527786106,3
battery_B,all,4652.29854866732,4
battery_B,all,5124.801764035231,3
battery_B,all,5784.337769438531,2
battery_B,all,7060.419207088513,3
battery_B,all,7277.21005034124,2
battery_B,all,8390.085554763875,1
battery_B,all,10193.930412175716,0
battery_B,G1,0.0,2
battery_B,G1,1869.7476752786913,3
battery_B,G1,2163.9990812094743,4
battery_B,G1,3463.8737658067994,3
battery_B,G1,3782.286794341491,2
battery_B,G1,3782.286804341491,3
battery_B,G1,4236.868527786106,2
battery_B,G1,4652.29854866732,3
battery_B,G1,5124.801764035231,2
battery_B,G1,7060.419207088513,3
battery_B,G1,7277.21005034124,2
battery_B,G1,8390.085554763875,1
battery_B,G1,10193.930412175716,0
battery_B,G2,3463.8737758067996,1
battery_B,G2,5784.337769438531,0
