panel,task,row,item,start_s,end_s,duration_s,soc
a,Q1-001,phase,准备,0.0,300.0,300.0,
a,Q1-001,phase,装载,300.0,510,210.0,
a,Q1-001,phase,爬升,510,568.1426440429688,58.142644042968755,
a,Q1-001,phase,巡航,568.1426440429688,771.7442178773006,203.60157383433182,
a,Q1-001,phase,下降,771.7442178773006,816.2725229310115,44.52830505371094,
a,Q1-001,phase,交接,816.2725229310115,1248.2725229310115,432.0,
a,Q1-001,phase,返航,1248.2725229310115,1560.175045862023,311.9025229310114,
a,Q1-001,drone,占用,0.0,1560.175045862023,1560.175045862023,
a,Q1-001,battery,占用,0.0,1560.175045862023,1560.175045862023,
a,Q1-001,battery,充电,1560.175045862023,3204.8643263570375,1644.6892804950148,0.6255280243869162
b,R-002,phase,准备,0.0,180.0,180.0,
b,R-002,phase,去程,180.0,521.0071303916061,341.0071303916061,
b,R-002,phase,建链,521.0071303916061,551.0071303916061,30.0,
b,R-002,phase,服务,551.0071303916061,3845.549590566146,3294.54246017454,
b,R-002,phase,返航,3845.549590566146,4225.69016517162,380.14057460547383,
b,R-002,entity,占用,0.0,4225.69016517162,4225.69016517162,
b,R-002,entity,周转,4225.69016517162,4525.69016517162,300.0,
b,R-002,component,占用,0.0,4225.69016517162,4225.69016517162,
b,R-002,component,周转,4225.69016517162,4525.69016517162,300.0,
b,R-002,component,充电,4525.69016517162,5513.370886692466,987.6807215208463,0.6248609834455029
