panel,unit,sites,size,edge_kind,site_a,site_b,task,relay,lon,lat
a,1,S001 S005,2,,,,,,,
a,2,S002,1,,,,,,,
a,3,S003,1,,,,,,,
a,4,S004,1,,,,,,,
a,5,S006,1,,,,,,,
a,6,S007,1,,,,,,,
a,7,S008,1,,,,,,,
a,8,S009,1,,,,,,,
a,9,S010,1,,,,,,,
a,10,S011,1,,,,,,,
a,11,S012,1,,,,,,,
a,12,S013,1,,,,,,,
a,13,S014,1,,,,,,,
a,14,S015,1,,,,,,,
b,1,S001 S005 S009,3,,,,,,,
b,2,S002 S003 S004 S007 S008 S010 S012 S013 S014 S015,10,,,,,,,
b,3,S006,1,,,,,,,
b,4,S011,1,,,,,,,
edge,,,,same_sortie,S001,S005,,,,
edge,,,,relay_used,S002,,,R-001,109.28450180533656,23.022054236204937
edge,,,,relay_used,S010,,,R-001,109.28450180533656,23.022054236204937
edge,,,,relay_used,S012,,,R-001,109.28450180533656,23.022054236204937
edge,,,,relay_used,S013,,,R-001,109.28450180533656,23.022054236204937
edge,,,,relay_used,S014,,,R-001,109.28450180533656,23.022054236204937
edge,,,,relay_used,S002,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_used,S003,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_backup,S004,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_used,S007,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_backup,S008,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_used,S015,,,R-002,109.20158800618006,23.022054236204937
edge,,,,relay_used,S001,,,R-003,109.2835263488759,23.0229572186186
edge,,,,relay_used,S005,,,R-003,109.2835263488759,23.0229572186186
edge,,,,relay_used,S009,,,R-003,109.2835263488759,23.0229572186186
edge,,,,relay_used,S002,,,R-004,109.24400343933368,23.06085685410639
edge,,,,relay_used,S004,,,R-004,109.24400343933368,23.06085685410639
edge,,,,relay_used,S007,,,R-004,109.24400343933368,23.06085685410639
edge,,,,relay_used,S013,,,R-004,109.24400343933368,23.06085685410639
edge,,,,relay_used,S008,,,R-005,109.21621985309004,23.062688444819756
edge,,,,relay_used,S001,,,R-006,109.24400343933368,23.06085685410639
edge,,,,relay_used,S005,,,R-006,109.24400343933368,23.06085685410639
edge,,,,relay_used,S009,,,R-006,109.24400343933368,23.06085685410639
pair,,S012,,used,,,Q3-001,R-001,,
pair,,S010,,used,,,Q3-002,R-001,,
pair,,S014,,used,,,Q3-003,R-001,,
pair,,S004,,backup,,,Q3-006,R-002,,
pair,,S004,,used,,,Q3-006,R-004,,
pair,,S007,,used,,,Q3-009,R-002,,
pair,,S007,,backup,,,Q3-009,R-004,,
pair,,S003,,used,,,Q3-016,R-002,,
pair,,S008,,backup,,,Q3-017,R-002,,
pair,,S008,,used,,,Q3-017,R-005,,
pair,,S015,,used,,,Q3-018,R-002,,
pair,,S003,,used,,,Q3-026,R-002,,
pair,,S009,,used,,,Q3-G1-2,R-003,,
pair,,S009,,used,,,Q3-G1-2,R-006,,
pair,,S002,,used,,,Q3-G2-2,R-002,,
pair,,S002,,used,,,Q3-G2-2,R-004,,
pair,,S002,,used,,,Q3-G3-1,R-001,,
pair,,S002,,used,,,Q3-G3-1,R-004,,
pair,,S007,,used,,,Q3-H1-1,R-002,,
pair,,S007,,used,,,Q3-H1-2,R-002,,
pair,,S007,,used,,,Q3-H1-2,R-004,,
pair,,S013,,used,,,Q3-H2-1,R-004,,
pair,,S013,,used,,,Q3-H2-2,R-001,,
pair,,S001 S005,,used,,,Q3-M002,R-003,,
pair,,S001 S005,,used,,,Q3-M002,R-006,,
node,,,,,S001,,,,109.2432319,23.0335927
node,,,,,S002,,,,109.2585519,23.0703271
node,,,,,S003,,,,109.1688578,23.0402714
node,,,,,S004,,,,109.2381714,23.0778414
node,,,,,S005,,,,109.2283003,23.0561338
node,,,,,S006,,,,109.1997836,23.007714
node,,,,,S007,,,,109.1928191,23.0294186
node,,,,,S008,,,,109.2127472,23.0795113
node,,,,,S009,,,,109.2541424,23.0552989
node,,,,,S010,,,,109.2760168,23.0194009
node,,,,,S011,,,,109.2203356,23.0319231
node,,,,,S012,,,,109.2831357,23.054464
node,,,,,S013,,,,109.2713839,23.0310882
node,,,,,S014,,,,109.2835966,23.0052097
node,,,,,S015,,,,109.1923786,23.0494548
