K,shortage_units,partitions_main,partitions_no_copy
2,2,3,1
2,3,10,0
2,4,22,0
2,5,53,2
2,6,127,0
2,7,297,0
2,8,643,0
2,9,1135,2
2,10,1495,0
2,11,1494,2
2,12,1190,0
2,13,782,0
2,14,501,0
2,15,259,0
2,16,142,0
2,17,38,0
3,4,4,0
3,5,14,0
3,6,39,1
3,7,126,0
3,8,340,0
3,9,878,0
3,10,2023,0
3,11,4469,1
3,12,9433,1
3,13,18658,1
3,14,33258,2
3,15,52970,0
3,16,75128,0
3,17,96018,0
3,18,108299,0
3,19,110131,0
3,20,97912,0
3,21,76484,0
3,22,51865,0
3,23,29955,0
3,24,14139,0
3,25,5205,0
3,26,1346,0
3,27,241,0
3,28,33,0
3,29,2,0
