x,box,site,category,priority,expected_s,hard_due_s,Q2_delivery_s,Q3_delivery_s
0,S001-FOD-01,S001,应急食品,10,7200,,1248.2725229310115,908.5768147050242
1,S001-FOD-02,S001,应急食品,10,7200,,1248.2725229310115,908.5768147050242
2,S001-FOD-03,S001,应急食品,10,7200,,2736.4475687930344,2159.483777448406
3,S001-HYG-01,S001,生活卫生用品,8,10800,,1248.2725229310115,7700.914287945512
4,S001-HYG-02,S001,生活卫生用品,8,10800,,2736.4475687930344,7700.914287945512
5,S001-MED-01,S001,医疗物资,24,3600,3600,917.6764212464412,3356.1146889555657
6,S001-MED-02,S001,医疗物资,24,3600,3600,917.6764212464412,3356.1146889555657
7,S001-WAT-01,S001,饮用水,12,3600,3600,917.6764212464412,3356.1146889555657
8,S001-WAT-02,S001,饮用水,12,3600,,1248.2725229310115,3356.1146889555657
9,S001-WAT-03,S001,饮用水,12,3600,,1248.2725229310115,3356.1146889555657
10,S001-WAT-04,S001,饮用水,12,3600,,2736.4475687930344,3356.1146889555657
11,S001-WAT-05,S001,饮用水,12,3600,,1248.2725229310115,3356.1146889555657
12,S001-WAT-06,S001,饮用水,12,3600,,2736.4475687930344,908.5768147050242
13,S001-WAT-07,S001,饮用水,12,3600,,1248.2725229310115,908.5768147050242
14,S001-WAT-08,S001,饮用水,12,3600,,2736.4475687930344,2159.483777448406
15,S002-FOD-01,S002,应急食品,10,7200,,2850.8837074988996,1487.3310830122773
16,S002-FOD-02,S002,应急食品,10,7200,,2429.408216480095,3405.1878882716865
17,S002-HYG-01,S002,生活卫生用品,8,10800,,2850.8837074988996,1487.3310830122773
18,S002-MED-01,S002,医疗物资,24,3600,3600,2429.408216480095,1487.3310830122773
19,S002-WAT-01,S002,饮用水,12,3600,3600,2850.8837074988996,3405.1878882716865
20,S002-WAT-02,S002,饮用水,12,3600,,2850.8837074988996,1487.3310830122773
21,S002-WAT-03,S002,饮用水,12,3600,,2429.408216480095,1487.3310830122773
22,S002-WAT-04,S002,饮用水,12,3600,,2850.8837074988996,1487.3310830122773
23,S003-FOD-01,S003,应急食品,8,10800,,5032.864497096245,5313.566067436208
24,S003-FOD-02,S003,应急食品,8,10800,,5374.447101466163,5940.576714519684
25,S003-HYG-01,S003,生活卫生用品,6,14400,,5374.447101466163,5940.576714519684
26,S003-MED-01,S003,医疗物资,20,7200,7200,5374.447101466163,5313.566067436208
27,S003-WAT-01,S003,饮用水,10,7200,7200,5374.447101466163,5313.566067436208
