节点,经度,纬度,海拔_m,保障人口,箱数,总质量_kg,总体积_m3,医疗箱,首批箱,硬时限箱,最紧硬时限_s
O01,109.2308517,23.0085095,127.7,,,,,,,,
S001,109.2432319,23.0335927,154,2100,15,154,0.394,2,2,3,3600
S002,109.2585519,23.0703271,189.5,330,8,81,0.211,1,2,2,3600
S003,109.1688578,23.0402714,308.5,275,8,81,0.211,1,2,2,7200
S004,109.2381714,23.0778414,198.3,188,6,59,0.156,1,2,2,7200
S005,109.2283003,23.0561338,165,126,6,59,0.156,1,2,2,10800
S006,109.1997836,23.007714,284.8,121,6,59,0.156,1,2,2,3600
S007,109.1928191,23.0294186,318.5,76,5,45,0.129,1,2,2,3600
S008,109.2127472,23.0795113,240.9,55,5,45,0.129,1,2,2,7200
S009,109.2541424,23.0552989,200,45,3,25,0.067,1,2,2,10800
S010,109.2760168,23.0194009,321.6,31,3,25,0.067,1,2,2,3600
S011,109.2203356,23.0319231,182.1,30,3,25,0.067,1,2,2,10800
S012,109.2831357,23.054464,249.8,16,3,25,0.067,1,2,2,3600
S013,109.2713839,23.0310882,321.7,14,3,25,0.067,1,2,2,3600
S014,109.2835966,23.0052097,321,12,3,25,0.067,1,2,2,3600
S015,109.1923786,23.0494548,444.5,3,3,25,0.067,1,2,2,7200
