series,full_time_s,soc,charge_seconds
A,1800.0,0.0,1800.0
A,1800.0,0.01,1787.0
A,1800.0,0.02,1774.0000000000002
A,1800.0,0.03,1761.0
A,1800.0,0.04,1748.0
A,1800.0,0.05,1734.9999999999998
A,1800.0,0.06,1722.0
A,1800.0,0.07,1709.0000000000002
A,1800.0,0.08,1696.0
A,1800.0,0.09,1683.0
A,1800.0,0.1,1670.0
A,1800.0,0.11,1657.0
A,1800.0,0.12,1644.0
A,1800.0,0.13,1631.0
A,1800.0,0.14,1618.0000000000002
A,1800.0,0.15,1605.0
A,1800.0,0.16,1591.9999999999998
A,1800.0,0.17,1578.9999999999998
A,1800.0,0.18,1565.9999999999998
A,1800.0,0.19,1553.0
A,1800.0,0.2,1540.0
A,1800.0,0.21,1527.0
A,1800.0,0.22,1514.0
A,1800.0,0.23,1501.0
A,1800.0,0.24,1488.0
A,1800.0,0.25,1475.0
A,1800.0,0.26,1462.0
A,1800.0,0.27,1449.0
A,1800.0,0.28,1435.9999999999998
A,1800.0,0.29,1423.0000000000002
A,1800.0,0.3,1410.0000000000002
A,1800.0,0.31,1397.0000000000002
A,1800.0,0.32,1384.0000000000002
A,1800.0,0.33,1371.0
A,1800.0,0.34,1358.0
A,1800.0,0.35,1345.0
A,1800.0,0.36,1332.0
A,1800.0,0.37,1319.0
A,1800.0,0.38,1306.0
A,1800.0,0.39,1292.9999999999998
A,1800.0,0.4,1279.9999999999998
A,1800.0,0.41,1267.0000000000002
A,1800.0,0.42,1254.0000000000002
A,1800.0,0.43,1241.0000000000002
A,1800.0,0.44,1228.0
A,1800.0,0.45,1215.0
A,1800.0,0.46,1202.0
A,1800.0,0.47,1189.0
A,1800.0,0.48,1176.0
A,1800.0,0.49,1163.0
A,1800.0,0.5,1150.0
A,1800.0,0.51,1136.9999999999998
A,1800.0,0.52,1124.0
A,1800.0,0.53,1110.9999999999998
A,1800.0,0.54,1097.9999999999998
A,1800.0,0.55,1085.0
A,1800.0,0.56,1072.0
A,1800.0,0.57,1059.0
A,1800.0,0.58,1046.0
A,1800.0,0.59,1033.0
A,1800.0,0.6,1020.0
A,1800.0,0.61,1006.9999999999999
A,1800.0,0.62,993.9999999999999
A,1800.0,0.63,980.9999999999999
A,1800.0,0.64,968.0
A,1800.0,0.65,955.0
A,1800.0,0.66,942.0
A,1800.0,0.67,928.9999999999999
A,1800.0,0.68,915.9999999999999
A,1800.0,0.69,903.0000000000001
A,1800.0,0.7,890.0
A,1800.0,0.71,877.0
A,1800.0,0.72,864.0
A,1800.0,0.73,851.0
A,1800.0,0.74,838.0
A,1800.0,0.75,825.0
A,1800.0,0.76,812.0
A,1800.0,0.77,799.0
A,1800.0,0.78,786.0
A,1800.0,0.79,772.9999999999999
A,1800.0,0.8,759.9999999999999
A,1800.0,0.81,746.9999999999999
A,1800.0,0.82,734.0
A,1800.0,0.83,721.0
A,1800.0,0.84,708.0000000000001
A,1800.0,0.85,695.0
A,1800.0,0.86,682.0
A,1800.0,0.87,669.0
A,1800.0,0.88,656.0
A,1800.0,0.89,643.0
A,1800.0,0.9,629.9999999999998
A,1800.0,0.91,566.9999999999998
A,1800.0,0.92,503.9999999999998
A,1800.0,0.93,440.99999999999966
A,1800.0,0.94,378.0000000000003
A,1800.0,0.95,315.0000000000003
A,1800.0,0.96,252.00000000000023
A,1800.0,0.97,189.00000000000014
A,1800.0,0.98,126.00000000000011
A,1800.0,0.99,63.00000000000006
A,1800.0,1.0,0.0
B,2400.0,0.0,2400.0
B,2400.0,0.01,2382.6666666666665
B,2400.0,0.02,2365.3333333333335
B,2400.0,0.03,2348.0
B,2400.0,0.04,2330.666666666667
B,2400.0,0.05,2313.333333333333
B,2400.0,0.06,2296.0
B,2400.0,0.07,2278.666666666667
B,2400.0,0.08,2261.333333333333
B,2400.0,0.09,2244.0
B,2400.0,0.1,2226.666666666667
B,2400.0,0.11,2209.3333333333335
B,2400.0,0.12,2192.0
B,2400.0,0.13,2174.6666666666665
B,2400.0,0.14,2157.3333333333335
B,2400.0,0.15,2140.0
B,2400.0,0.16,2122.6666666666665
B,2400.0,0.17,2105.333333333333
B,2400.0,0.18,2087.9999999999995
B,2400.0,0.19,2070.6666666666665
B,2400.0,0.2,2053.333333333333
B,2400.0,0.21,2036.0000000000002
B,2400.0,0.22,2018.6666666666667
B,2400.0,0.23,2001.3333333333333
B,2400.0,0.24,1984.0
B,2400.0,0.25,1966.6666666666665
B,2400.0,0.26,1949.3333333333333
B,2400.0,0.27,1931.9999999999998
B,2400.0,0.28,1914.6666666666665
B,2400.0,0.29,1897.3333333333337
B,2400.0,0.3,1880.0000000000002
B,2400.0,0.31,1862.666666666667
B,2400.0,0.32,1845.3333333333335
B,2400.0,0.33,1828.0
B,2400.0,0.34,1810.6666666666667
B,2400.0,0.35,1793.3333333333333
B,2400.0,0.36,1776.0
B,2400.0,0.37,1758.6666666666665
B,2400.0,0.38,1741.3333333333333
B,2400.0,0.39,1723.9999999999998
B,2400.0,0.4,1706.6666666666665
B,2400.0,0.41,1689.3333333333337
B,2400.0,0.42,1672.0000000000002
B,2400.0,0.43,1654.666666666667
B,2400.0,0.44,1637.3333333333335
B,2400.0,0.45,1620.0
B,2400.0,0.46,1602.6666666666667
B,2400.0,0.47,1585.3333333333333
B,2400.0,0.48,1568.0
B,2400.0,0.49,1550.6666666666665
B,2400.0,0.5,1533.3333333333333
B,2400.0,0.51,1515.9999999999998
B,2400.0,0.52,1498.6666666666667
B,2400.0,0.53,1481.333333333333
B,2400.0,0.54,1463.9999999999998
B,2400.0,0.55,1446.6666666666665
B,2400.0,0.56,1429.3333333333333
B,2400.0,0.57,1412.0
B,2400.0,0.58,1394.6666666666667
B,2400.0,0.59,1377.3333333333333
B,2400.0,0.6,1360.0
B,2400.0,0.61,1342.6666666666665
B,2400.0,0.62,1325.3333333333333
B,2400.0,0.63,1307.9999999999998
B,2400.0,0.64,1290.6666666666667
B,2400.0,0.65,1273.3333333333333
B,2400.0,0.66,1256.0
B,2400.0,0.67,1238.6666666666665
B,2400.0,0.68,1221.3333333333333
B,2400.0,0.69,1204.0
