record_type,node,longitude,latitude,altitude,task,leg_index,from_node,to_node,longitude_to,latitude_to,payload,distance
node,O01,109.2308517,23.0085095,127.7,,,,,,,,
node,S001,109.2432319,23.0335927,154,,,,,,,,
node,S002,109.2585519,23.0703271,189.5,,,,,,,,
node,S003,109.1688578,23.0402714,308.5,,,,,,,,
node,S004,109.2381714,23.0778414,198.3,,,,,,,,
node,S005,109.2283003,23.0561338,165,,,,,,,,
node,S006,109.1997836,23.007714,284.8,,,,,,,,
node,S007,109.1928191,23.0294186,318.5,,,,,,,,
node,S008,109.2127472,23.0795113,240.9,,,,,,,,
node,S009,109.2541424,23.0552989,200,,,,,,,,
node,S010,109.2760168,23.0194009,321.6,,,,,,,,
node,S011,109.2203356,23.0319231,182.1,,,,,,,,
node,S012,109.2831357,23.054464,249.8,,,,,,,,
node,S013,109.2713839,23.0310882,321.7,,,,,,,,
node,S014,109.2835966,23.0052097,321,,,,,,,,
node,S015,109.1923786,23.0494548,444.5,,,,,,,,
relay_location,P1,109.20158800618006,23.022054236204937,597.3013305664062,,,,,,,,
relay_location,P2,109.21621985309004,23.062688444819756,388.18408203125,,,,,,,,
relay_location,P3,109.24400343933368,23.06085685410639,356.40435791015625,,,,,,,,
relay_location,P4,109.2835263488759,23.0229572186186,465.7570495605469,,,,,,,,
relay_location,P5,109.28450180533656,23.022054236204937,536.7926635742188,,,,,,,,
leg,,109.2308517,23.0085095,,Q3-001,0,O01,S012,109.2831357,23.054464,25,7391.140162515387
leg,,109.2831357,23.054464,,Q3-001,1,S012,O01,109.2308517,23.0085095,0,7391.140162515387
leg,,109.2308517,23.0085095,,Q3-002,0,O01,S010,109.2760168,23.0194009,25,4784.674506261786
leg,,109.2760168,23.0194009,,Q3-002,1,S010,O01,109.2308517,23.0085095,0,4784.674506261786
leg,,109.2308517,23.0085095,,Q3-003,0,O01,S014,109.2835966,23.0052097,25,5419.5362999417475
leg,,109.2835966,23.0052097,,Q3-003,1,S014,O01,109.2308517,23.0085095,0,5419.5362999417475
leg,,109.2308517,23.0085095,,Q3-008,0,O01,S006,109.1997836,23.007714,17,3186.1988523508394
leg,,109.1997836,23.007714,,Q3-008,1,S006,O01,109.2308517,23.0085095,0,3186.1988523508394
leg,,109.2308517,23.0085095,,Q3-010,0,O01,S001,109.2432319,23.0335927,22,3054.023607514977
leg,,109.2432319,23.0335927,,Q3-010,1,S001,O01,109.2308517,23.0085095,0,3054.023607514977
leg,,109.2308517,23.0085095,,Q3-011,0,O01,S001,109.2432319,23.0335927,22,3054.023607514977
leg,,109.2432319,23.0335927,,Q3-011,1,S001,O01,109.2308517,23.0085095,0,3054.023607514977
