kind,entity,task,start,end
B,U05,Q3-001,0.0,1922.826814149187
C,U07,Q3-002,0.0,1668.732364995061
B,U06,Q3-003,0.0,1869.7476752786913
A,U02,Q3-008,0.0,1313.476639779827
A,U03,Q3-010,0.0,1250.9069627433814
A,U04,Q3-011,0.0,1250.9069627433814
C,U08,Q3-G3-1,0.0,2107.8421660245544
A,U01,Q3-H2-2,0.0,1612.162817229484
A,U03,Q3-012,1250.9069627433814,2501.813925486763
A,U04,Q3-013,1250.9069627433814,2564.3836025232085
C,U07,Q3-006,1668.732364995061,3969.7870837675064
B,U06,Q3-014,1869.7476752786913,3077.0176866468237
C,U08,Q3-007,2107.8421660245544,3668.0172118865776
A,U02,Q3-G2-2,2121.3602840485764,4125.135492494796
A,U01,Q3-009,2131.0679318829757,3858.5348177747574
B,U05,Q3-H1-2,2163.9990812094743,3740.308721270556
A,U03,Q3-H2-1,2501.8139264867627,4053.9767437162473
A,U04,Q3-H1-1,2677.8161773452894,4345.2830632370715
B,U06,Q3-023,3463.8737758067996,4652.29853866732
C,U08,Q3-016,3668.0172118865776,6104.194922985838
B,U05,Q3-018,3782.286804341491,5610.614364515151
C,U07,Q3-017,4642.271620470085,6841.983145070918
B,U06,Q3-026,4652.29854866732,6672.908213705382
C,U08,Q3-M002,6602.641765014501,8909.51418098043
B,U06,Q3-G1-2,7060.419207088513,8618.882071422871
准备/航行/建链,R01,R-001,0,2096.4226962244925
通信保障窗,R01,R-001,692.3316409266408,1580
返航后周转,R01,R-001,2096.4226962244925,2396.4226962244925
准备/航行/建链,R01,R-002,2396.4226962244925,6622.112861396112
通信保障窗,R01,R-002,2947.4298266160986,6241.9722867906385
返航后周转,R01,R-002,6622.112861396112,6922.112861396112
准备/航行/建链,R01,R-003,7077.95181667522,9103.888077248386
通信保障窗,R01,R-003,7753.769488140826,8609.898984986068
返航后周转,R01,R-003,9103.888077248386,9403.888077248386
准备/航行/建链,R02,R-004,165.10022869749417,4328.53337317496
通信保障窗,R02,R-004,829.0684948941623,3855.5064104857784
返航后周转,R02,R-004,4328.53337317496,4628.53337317496
准备/航行/建链,R02,R-005,4783.276756457865,6938.164082691535
通信保障窗,R02,R-005,5470.708339527427,6439.025492786036
返航后周转,R02,R-005,6938.164082691535,7238.164082691535
准备/航行/建链,R02,R-006,7238.164182691536,9061.564906293728
通信保障窗,R02,R-006,7902.132448888204,8588.537943604548
返航后周转,R02,R-006,9061.564906293728,9361.564906293728
