record_type,source_index,task,event,phase,start,end,start_exact_decimal,end_exact_decimal,parameter_start,parameter_end,mode,relay,endpoint_semantics
interval,0,Q3-001,1,爬升,390.0,485.20033162434896,390.00000000000000,485.20033162434896,0,1,direct,,open; exact instants in boundary supplement
interval,1,Q3-001,2,巡航,485.20033162434896,692.3316409266408,485.20033162434896,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.4203640536126701868149980568358144376345018982017054652688138275500911262238468668632567377214523559,direct,,open; exact instants in boundary supplement
interval,2,Q3-001,2,巡航,692.3316409266408,696.9832701782927,692.3316409266408000000000000000000000000000000000000000000000000000000000000000000000000000000000000,696.9832701782927000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4203640536126701868149980568358144376345018982017054652688138275500911262238468668632567377214523559,0.4298043344408763385468891427706683960426675535922970548528917250504553562684789890619149187899593523,direct,,open; exact instants in boundary supplement
interval,3,Q3-001,2,巡航,696.9832701782927,698.0612054213351,696.9832701782927000000000000000000000000000000000000000000000000000000000000000000000000000000000000,698.0612054213351326652179928245197240427737946987754300849342679558818816164316051980653783795892324,0.4298043344408763385468891427706683960426675535922970548528917250504553562684789890619149187899593523,0.4319919574990397726097774994701224573153952374856118213426637405205435198196934400674995845684066921,direct,,open; exact instants in boundary supplement
interval,4,Q3-001,2,巡航,698.0612054213351,748.0541868252203,698.0612054213351326652179928245197240427737946987754300849342679558818816164316051980653783795892324,748.0541868252203000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4319919574990397726097774994701224573153952374856118213426637405205435198196934400674995845684066921,0.5334505558437733626733576531149393490903654922645989975162330245370063345840617004853689470633363956,direct,,open; exact instants in boundary supplement
interval,5,Q3-001,2,巡航,748.0541868252203,748.3583560217762,748.0541868252203000000000000000000000000000000000000000000000000000000000000000000000000000000000000,748.3583560217762234423105719453454543830893476768043478398374531420992280872643103299040149414443623,0.5334505558437733626733576531149393490903654922645989975162330245370063345840617004853689470633363956,0.5340678541019606500020368680734222886265655677825238396857560752666486061593889402620743832968678508,direct,,open; exact instants in boundary supplement
interval,6,Q3-001,2,巡航,748.3583560217762,829.0684948941623,748.3583560217762234423105719453454543830893476768043478398374531420992280872643103299040149414443623,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5340678541019606500020368680734222886265655677825238396857560752666486061593889402620743832968678508,0.6978655979501542391597663240581069036601982531229793632881366058410900012977352876889151965246728037,relay,R-001,open; exact instants in boundary supplement
interval,7,Q3-001,2,巡航,829.0684948941623,977.9430091253747,829.0684948941623000000000000000000000000000000000000000000000000000000000000000000000000000000000000,977.94300912537470,0.6978655979501542391597663240581069036601982531229793632881366058410900012977352876889151965246728037,1,relay,R-001,open; exact instants in boundary supplement
interval,8,Q3-001,3,下降,977.9430091253747,1019.5006329955244,977.9430091253747,1019.500632995524400000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.7782268572168520448927389782246874990505000224068209526799312777467575090852584487499743890206038247,relay,R-001,open; exact instants in boundary supplement
interval,9,Q3-001,3,下降,1019.5006329955244,1031.3434070745934,1019.500632995524400000000000000000000000000000000000000000000000000000000000000000000000000000000000,1031.3434070745934,0.7782268572168520448927389782246874990505000224068209526799312777467575090852584487499743890206038247,1,relay,R-001,open; exact instants in boundary supplement
interval,10,Q3-001,4,交接,1031.3434070745934,1271.3434070745934,1031.3434070745934,1271.3434070745934,0,1,relay,R-001,open; exact instants in boundary supplement
interval,11,Q3-001,5,爬升,1271.3434070745934,1281.2123854738177,1271.3434070745934,1281.212385473817700000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.2217731427831505360371981497331193426915559686481820220725145325558954631878855789658469429868381652,relay,R-001,open; exact instants in boundary supplement
interval,12,Q3-001,5,爬升,1281.2123854738177,1315.8437386989424,1281.212385473817700000000000000000000000000000000000000000000000000000000000000000000000000000000000,1315.8437386989424,0.2217731427831505360371981497331193426915559686481820220725145325558954631878855789658469429868381652,1,relay,R-001,open; exact instants in boundary supplement
interval,13,Q3-001,6,巡航,1315.8437386989424,1545.428391802541,1315.8437386989424,1545.428391802540904513618181937015545494698567917858334566228479906470390767371173671179615495219222,0,0.4659321458980393499979631319265777113734344322174761603142439247333513938406110597379256167031321492,relay,R-001,open; exact instants in boundary supplement
interval,14,Q3-001,6,巡航,1545.428391802541,1545.732560999097,1545.428391802540904513618181937015545494698567917858334566228479906470390767371173671179615495219222,1545.732560999097000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4659321458980393499979631319265777113734344322174761603142439247333513938406110597379256167031321492,0.4665494441562269864074936808317018429608278455837444338196181412757530744039911836057196118228611379,direct,,open; exact instants in boundary supplement
interval,15,Q3-001,6,巡航,1545.732560999097,1580.0,1545.732560999097000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4665494441562269864074936808317018429608278455837444338196181412757530744039911836057196118228611379,0.5360937328196169390033678114759408987848185320339469339954617128432262808714502276516977086006009465,direct,,open; exact instants in boundary supplement
interval,16,Q3-001,6,巡航,1580.0,1595.725542402982,1580.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1595.725542402982001415264557233093919370576237093877130991351482907408837823743963569323432438804364,0.5360937328196169390033678114759408987848185320339469339954617128432262808714502276516977086006009465,0.5680080425009602273902225005298775426846047625143881786573362594794564801803065599325004154315933079,direct,,open; exact instants in boundary supplement
interval,17,Q3-001,6,巡航,1595.725542402982,1596.8034776460245,1595.725542402982001415264557233093919370576237093877130991351482907408837823743963569323432438804364,1596.803477646024500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5680080425009602273902225005298775426846047625143881786573362594794564801803065599325004154315933079,0.5701956655591237949675456127120677337929186394021557510810523787652654797084480076741781191334453227,direct,,open; exact instants in boundary supplement
interval,18,Q3-001,6,巡航,1596.8034776460245,1808.5864161999682,1596.803477646024500000000000000000000000000000000000000000000000000000000000000000000000000000000000,1808.5864161999682,0.5701956655591237949675456127120677337929186394021557510810523787652654797084480076741781191334453227,1,direct,,open; exact instants in boundary supplement
interval,19,Q3-001,7,下降,1808.5864161999682,1902.9627048682441,1808.5864161999682,1902.962704868244100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.8261200972901658648327833277965867794464794543557836910506204886644369810315831289484918390056655245,direct,,open; exact instants in boundary supplement
interval,20,Q3-001,7,下降,1902.9627048682441,1922.826814149187,1902.962704868244100000000000000000000000000000000000000000000000000000000000000000000000000000000000,1922.8268141491870,0.8261200972901658648327833277965867794464794543557836910506204886644369810315831289484918390056655245,1,direct,,open; exact instants in boundary supplement
interval,21,Q3-002,1,爬升,390.0,513.1746142578126,390.0000000000000,513.1746142578126,0,1,direct,,open; exact instants in boundary supplement
interval,22,Q3-002,2,巡航,513.1746142578126,630.6027100329447,513.1746142578126,630.6027100329447000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0.3681381950479138040405876271254420808717765905181978122086051980293006774777875635908128630305538385,direct,,open; exact instants in boundary supplement
interval,23,Q3-002,2,巡航,630.6027100329447,631.8724147564284,630.6027100329447000000000000000000000000000000000000000000000000000000000000000000000000000000000000,631.8724147564284312157008591865822497177397746345268534008127996289690361617760440516412063163967546,0.3681381950479138040405876271254420808717765905181978122086051980293006774777875635908128630305538385,0.3721187314098608303937045650403816608249929774072833089219371523639565809084565697769093440303477135,direct,,open; exact instants in boundary supplement
