resource,plan,demand,inventory,shortage,redundancy_vs_no_partition
drone_A,不分区,4,4,0,0
drone_A,2组,4,4,0,0
drone_A,3组,4,4,0,0
drone_B,不分区,2,2,0,0
drone_B,2组,3,2,1,1
drone_B,3组,4,2,2,2
drone_C,不分区,2,2,0,0
drone_C,2组,2,2,0,0
drone_C,3组,2,2,0,0
battery_A,不分区,6,6,0,0
battery_A,2组,6,6,0,0
battery_A,3组,6,6,0,0
battery_B,不分区,4,4,0,0
battery_B,2组,5,4,1,1
battery_B,3组,5,4,1,1
battery_C,不分区,4,4,0,0
battery_C,2组,4,4,0,0
battery_C,3组,4,4,0,0
relay,不分区,2,2,0,0
relay,2组,2,2,0,0
relay,3组,3,2,1,1
component,不分区,4,6,0,0
component,2组,4,6,0,0
component,3组,5,6,0,1
