服务区,水平距离_m,沿线最高地面_m,巡航海拔_m,去程爬升_m,去程下降_m,回程巡航海拔_m,回程爬升_m,回程下降_m,经过像元数
S001,3054.023607514977,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136
S002,7411.533814153884,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,308.9542541503906,89.45425415039062,181.25425415039064,323
S003,7263.826967765937,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,561.8041381835938,223.30413818359375,434.10413818359376,338
S004,7714.681646286507,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,398.2391662597656,169.9391662597656,270.53916625976564,276
S005,5280.5933691157215,276.410888671875,326.410888671875,198.710888671875,131.410888671875,326.410888671875,131.410888671875,198.710888671875,181
S006,3186.1988523508394,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,366.09783935546875,51.29783935546874,238.39783935546876,116
S007,4534.717374921003,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,511.9731750488281,163.47317504882812,384.27317504882814,213
S008,8079.110448788475,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,372.9093322753906,102.00933227539065,245.20933227539064,321
S009,5705.303446619009,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,293.2289123535156,63.228912353515625,165.52891235351564,253
S010,4784.674506261786,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,435.63653564453125,84.03653564453123,307.93653564453126,203
S011,2808.1064123718716,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,295.36175537109375,83.26175537109376,167.66175537109376,123
S012,7391.140162515387,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,413.3009948730469,133.50099487304686,285.6009948730469,354
S013,4849.53685454878,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,399.18182373046875,47.48182373046876,271.48182373046876,228
S014,5419.5362999417475,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,203
S015,6009.764892220415,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,571.7992553710938,97.29925537109375,444.09925537109376,286
