架次,服务区,机型,返航SOC,安全余量比例,可增加余量比例,剩余能量_kWh
Q1-001,S001,C,0.6255280243869162,0.2,0.4255280243869162,3.40422419509533
Q1-002,S001,C,0.6353014880516465,0.2,0.43530148805164653,3.4824119044131723
Q1-003,S002,B,0.32163176468950305,0.2,0.12163176468950304,0.48652705875801217
Q1-004,S002,C,0.2848304745067569,0.2,0.0848304745067569,0.6786437960540552
Q1-005,S003,B,0.30498049144184813,0.2,0.10498049144184812,0.4199219657673925
Q1-006,S003,C,0.2793294131270203,0.2,0.0793294131270203,0.6346353050161624
Q1-007,S004,C,0.23089248385317718,0.2,0.030892483853177166,0.24713987082541733
Q1-008,S005,C,0.47223282831936075,0.2,0.27223282831936074,2.177862626554886
Q1-009,S006,C,0.6752579636951648,0.2,0.47525796369516476,3.802063709561318
Q1-010,S007,C,0.5736245239445851,0.2,0.37362452394458506,2.9889961915566805
Q1-011,S008,C,0.2704974165042052,0.2,0.07049741650420521,0.5639793320336417
Q1-012,S009,B,0.4759336495656663,0.2,0.2759336495656663,1.1037345982626652
Q1-013,S010,B,0.5441958589421466,0.2,0.3441958589421466,1.3767834357685864
Q1-014,S011,B,0.7315158284012242,0.2,0.5315158284012242,2.126063313604897
Q1-015,S012,B,0.3118500114275169,0.2,0.11185001142751688,0.44740004571006753
Q1-016,S013,B,0.5437929522298133,0.2,0.34379295222981326,1.375171808919253
Q1-017,S014,B,0.46492725546455294,0.2,0.2649272554645529,1.0597090218582117
Q1-018,S015,B,0.42311787356187114,0.2,0.22311787356187113,0.8924714942474845
