服务区,箱数,总质量_kg,总体积_m3,最大安全载荷_kg,质量下界,体积下界,架次下界,架次优先架次,能耗优先架次
S001,15,154,0.394,80.0,2,2,2,2,2
S002,8,81,0.211,68.858,2,1,2,2,2
S003,8,81,0.211,68.2,2,1,2,2,2
S004,6,59,0.156,63.698,1,1,1,1,1
S005,6,59,0.156,80.0,1,1,1,1,1
S006,6,59,0.156,80.0,1,1,1,1,1
S007,5,45,0.129,80.0,1,1,1,1,1
S008,5,45,0.129,58.904,1,1,1,1,2
S009,3,25,0.067,80.0,1,1,1,1,1
S010,3,25,0.067,80.0,1,1,1,1,1
S011,3,25,0.067,80.0,1,1,1,1,1
S012,3,25,0.067,68.11,1,1,1,1,1
S013,3,25,0.067,80.0,1,1,1,1,1
S014,3,25,0.067,80.0,1,1,1,1,1
S015,3,25,0.067,80.0,1,1,1,1,1
