方案,资源,类别,使用次数,占用时间_s,任务
q2,U01,无人机,3,5886.259779078042,Q2-002、Q2-008、Q2-017
q2,U02,无人机,2,4660.640233288954,Q2-003、Q2-013
q2,U03,无人机,3,5111.843282367856,Q2-004、Q2-011、Q2-014
q2,U04,无人机,3,5845.038201781173,Q2-006、Q2-012、Q2-022
q2,U05,无人机,4,5730.423439262007,Q2-001、Q2-007、Q2-018、Q2-023
q2,U06,无人机,3,5786.510308500592,Q2-005、Q2-010、Q2-021
q2,U07,无人机,3,6181.988277110899,Q2-009、Q2-019、Q2-024
q2,U08,无人机,3,6165.075957015793,Q2-015、Q2-016、Q2-020
q2,A-BAT-01,电池,2,5672.65457765086,Q2-002、Q2-012
q2,A-BAT-02,电池,2,7205.543447557737,Q2-003、Q2-017
q2,A-BAT-03,电池,2,6441.233278676409,Q2-004、Q2-013
q2,A-BAT-04,电池,2,6033.274790502894,Q2-006、Q2-014
q2,A-BAT-05,电池,1,3571.6799949762317,Q2-008
q2,A-BAT-06,电池,2,5658.998169106691,Q2-011、Q2-022
q2,B-BAT-01,电池,2,5318.941705063122,Q2-001、Q2-018
q2,B-BAT-02,电池,2,7700.051520485495,Q2-005、Q2-021
q2,B-BAT-03,电池,2,5979.693016144351,Q2-007、Q2-023
q2,B-BAT-04,电池,1,3765.9952694434965,Q2-010
q2,C-BAT-01,电池,2,8005.651996780933,Q2-009、Q2-024
q2,C-BAT-02,电池,2,8072.768741551338,Q2-015、Q2-020
q2,C-BAT-03,电池,1,4424.709471259915,Q2-016
q2,C-BAT-04,电池,1,4467.7982337989615,Q2-019
