运输任务,直连时长_s,中继时长_s,总时长_s,直连份额,中继份额,状态段数
Q3-001,735.7567783684223189286923900083299088883907797589460132736089732356288373198931366587243994462251403,797.0700357807646810713076099916700911116092202410539867263910267643711626801068633412756005537748597,1532.8268141491870000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.47999993970409012425069587583672146229817833481810925708212441767691959348770012661396128255430433671913244526,0.52000006029590987574930412416327853770182166518189074291787558232308040651229987338603871744569566328086755474,21
Q3-002,803.2500827486852005706578327697267664274678419433390076931851218565931422793833636479906143803422096,475.4822822463757994293421672302732335725321580566609923068148781434068577206166363520093856196577904,1278.7323649950610000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.62816122023453100667972549628218562424014782541416404816101270580608193492729778707415178167536366786938611752,0.37183877976546899332027450371781437575985217458583595183898729419391806507270221292584821832463633213061388248,24
Q3-003,864.6180474677123256472747210973401691633136099972272278806859167743122836693770446203605324179333044,615.1296278109789743527252789026598308366863900027727721193140832256877163306229553796394675820666956,1479.7476752786913000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.58430100071275511223042541512234307830206805931235680957731397783703779137737235802196603510576636758055952581,0.41569899928724488776957458487765692169793194068764319042268602216296220862262764197803396489423363241944047419,25
Q3-008,953.4766397798270000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,953.4766397798270000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+97,15
Q3-010,890.9069627433814000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,890.9069627433814000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+97,13
Q3-011,890.9069627433814000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,890.9069627433814000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+97,13
Q3-G3-1,690.1965875682915917793797879147772784965010747294714027909571493140563041284745383557770121561579430,937.6455784562628082206202120852227215034989252705285972090428506859436958715254616442229878438420570,1627.8421660245544000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.42399478399915133679806094071315693571599860748853859495321647617164442310309678544912095147652419731524808914,0.57600521600084866320193905928684306428400139251146140504678352382835557689690321455087904852347580268475191086,22
Q3-H2-2,857.1358411984138455634135448067795549975980839188535545230493809866017457116927405245033100216670284,395.0269760310701544365864551932204450024019160811464454769506190133982542883072594754966899783329716,1252.1628172294840000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.68452427224671891648348435263948876052312743702799488076806309108635954274373777960338474849246692075903953404,0.31547572775328108351651564736051123947687256297200511923193690891364045725626222039661525150753307924096046596,22
Q3-012,890.906962743381600000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,890.906962743381600000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+96,9
Q3-013,953.476639779827100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,953.476639779827100000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+96,13
Q3-006,988.235327912191508244089528283811399281931040391175169251291189276978604046324601123244248688727135,832.819390860253591755910471716188600718068959608824830748708810723021395953675398876755751311272865,1821.054718772445100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.54267195692963642963219341519694456180574013847544588026630155807876568725158791848978515637995957840381954161,0.45732804307036357036780658480305543819425986152455411973369844192123431274841208151021484362004042159618045839,24
Q3-014,847.270011368132200000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,847.270011368132200000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+96,18
Q3-007,1050.175045862023200000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1050.175045862023200000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0E+96,11
Q3-G2-2,791.754484918127278067820830910623142684821513398028414517473125370021432022354653198586714509091531,852.020723528092321932179169089376857315178486601971585482526874629978567977645346801413285490908469,1643.775208446219600000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.48166834543424834378904241792434562048437171730584968195355809419689064969341950693823150755958879444868918596,0.51833165456575165621095758207565437951562828269415031804644190580310935030658049306176849244041120555131081404,23
Q3-009,938.382001136167310524426950744188438427933714385265453940402026112553585849987803487575335528989920,429.084884755614389475573049255811561572066285614734546059597973887446414150012196512424664471010080,1367.466885891781700000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.68621917709123143132303897057477592671833516563533682847489193066829260190994364800205201474368307705195599035,0.31378082290876856867696102942522407328166483436466317152510806933170739809005635199794798525631692294804400965,26
Q3-H1-2,807.065666582762125172362287858124176894812251540164530693716841570582954937419758511533908666588574,409.243973478319574827637712141875823105187748459835469306283158429417045062580241488466091333411426,1216.309640061081700000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.66353635620468501468390448602931925151108329768326097787864050760799133273650672893024380338060142405436095861,0.33646364379531498531609551397068074848891670231673902212135949239200866726349327106975619661939857594563904139,25
