分组数,指标,资源,数量,不分区用量,现有库存,分区需求
2,冗余,A型机,0,4,4,4
2,冗余,B型机,1,2,2,3
2,冗余,C型机,0,2,2,2
2,冗余,A型电池,0,6,6,6
2,冗余,B型电池,1,4,4,5
2,冗余,C型电池,0,4,4,4
2,冗余,中继机,0,2,2,2
2,冗余,中继组件,0,4,6,4
2,库存缺口,A型机,0,4,4,4
2,库存缺口,B型机,1,2,2,3
2,库存缺口,C型机,0,2,2,2
2,库存缺口,A型电池,0,6,6,6
2,库存缺口,B型电池,1,4,4,5
2,库存缺口,C型电池,0,4,4,4
2,库存缺口,中继机,0,2,2,2
2,库存缺口,中继组件,0,4,6,4
3,冗余,A型机,0,4,4,4
3,冗余,B型机,2,2,2,4
3,冗余,C型机,0,2,2,2
3,冗余,A型电池,0,6,6,6
3,冗余,B型电池,1,4,4,5
3,冗余,C型电池,0,4,4,4
3,冗余,中继机,1,2,2,3
3,冗余,中继组件,1,4,6,5
3,库存缺口,A型机,0,4,4,4
3,库存缺口,B型机,2,2,2,4
3,库存缺口,C型机,0,2,2,2
3,库存缺口,A型电池,0,6,6,6
3,库存缺口,B型电池,1,4,4,5
3,库存缺口,C型电池,0,4,4,4
3,库存缺口,中继机,1,2,2,3
3,库存缺口,中继组件,0,4,6,5
