soc,charge_seconds
0.0,1800.0
0.01,1787.0
0.02,1774.0000000000002
0.03,1761.0
0.04,1748.0
0.05,1734.9999999999998
0.06,1722.0
0.07,1709.0000000000002
0.08,1696.0
0.09,1683.0
0.1,1670.0
0.11,1657.0
0.12,1644.0
0.13,1631.0
0.14,1618.0000000000002
0.15,1605.0
0.16,1591.9999999999998
0.17,1578.9999999999998
0.18,1565.9999999999998
0.19,1553.0
0.2,1540.0
0.21,1527.0
0.22,1514.0
0.23,1501.0
0.24,1488.0
0.25,1475.0
0.26,1462.0
0.27,1449.0
0.28,1435.9999999999998
0.29,1423.0000000000002
0.3,1410.0000000000002
0.31,1397.0000000000002
0.32,1384.0000000000002
0.33,1371.0
0.34,1358.0
0.35,1345.0
0.36,1332.0
0.37,1319.0
0.38,1306.0
0.39,1292.9999999999998
0.4,1279.9999999999998
0.41,1267.0000000000002
0.42,1254.0000000000002
0.43,1241.0000000000002
0.44,1228.0
0.45,1215.0
0.46,1202.0
0.47,1189.0
0.48,1176.0
0.49,1163.0
0.5,1150.0
0.51,1136.9999999999998
0.52,1124.0
0.53,1110.9999999999998
0.54,1097.9999999999998
0.55,1085.0
0.56,1072.0
0.57,1059.0
0.58,1046.0
0.59,1033.0
0.6,1020.0
0.61,1006.9999999999999
0.62,993.9999999999999
0.63,980.9999999999999
0.64,968.0
0.65,955.0
0.66,942.0
0.67,928.9999999999999
0.68,915.9999999999999
0.69,903.0000000000001
0.7,890.0
0.71,877.0
0.72,864.0
0.73,851.0
0.74,838.0
0.75,825.0
0.76,812.0
0.77,799.0
0.78,786.0
0.79,772.9999999999999
0.8,759.9999999999999
0.81,746.9999999999999
0.82,734.0
0.83,721.0
0.84,708.0000000000001
0.85,695.0
0.86,682.0
0.87,669.0
0.88,656.0
0.89,643.0
0.9,629.9999999999998
0.91,566.9999999999998
0.92,503.9999999999998
0.93,440.99999999999966
0.94,378.0000000000003
0.95,315.0000000000003
0.96,252.00000000000023
0.97,189.00000000000014
0.98,126.00000000000011
0.99,63.00000000000006
1.0,0.0
