scheme,group_count,node,node_type,group,longitude,latitude,shortage_total
copy_2,2,O01,center,,109.2308517,23.0085095,2
copy_2,2,S001,site,G1,109.2432319,23.0335927,2
copy_2,2,S002,site,G1,109.2585519,23.0703271,2
copy_2,2,S003,site,G1,109.1688578,23.0402714,2
copy_2,2,S004,site,G1,109.2381714,23.0778414,2
copy_2,2,S005,site,G1,109.2283003,23.0561338,2
copy_2,2,S006,site,G1,109.1997836,23.007714,2
copy_2,2,S007,site,G1,109.1928191,23.0294186,2
copy_2,2,S008,site,G1,109.2127472,23.0795113,2
copy_2,2,S009,site,G1,109.2541424,23.0552989,2
copy_2,2,S010,site,G1,109.2760168,23.0194009,2
copy_2,2,S011,site,G2,109.2203356,23.0319231,2
copy_2,2,S012,site,G1,109.2831357,23.054464,2
copy_2,2,S013,site,G1,109.2713839,23.0310882,2
copy_2,2,S014,site,G1,109.2835966,23.0052097,2
copy_2,2,S015,site,G1,109.1923786,23.0494548,2
copy_3,3,O01,center,,109.2308517,23.0085095,4
copy_3,3,S001,site,G1,109.2432319,23.0335927,4
copy_3,3,S002,site,G1,109.2585519,23.0703271,4
copy_3,3,S003,site,G1,109.1688578,23.0402714,4
copy_3,3,S004,site,G1,109.2381714,23.0778414,4
copy_3,3,S005,site,G1,109.2283003,23.0561338,4
copy_3,3,S006,site,G1,109.1997836,23.007714,4
copy_3,3,S007,site,G1,109.1928191,23.0294186,4
copy_3,3,S008,site,G1,109.2127472,23.0795113,4
copy_3,3,S009,site,G1,109.2541424,23.0552989,4
copy_3,3,S010,site,G1,109.2760168,23.0194009,4
copy_3,3,S011,site,G2,109.2203356,23.0319231,4
copy_3,3,S012,site,G3,109.2831357,23.054464,4
copy_3,3,S013,site,G1,109.2713839,23.0310882,4
copy_3,3,S014,site,G1,109.2835966,23.0052097,4
copy_3,3,S015,site,G1,109.1923786,23.0494548,4
no_copy_3,3,O01,center,,109.2308517,23.0085095,6
no_copy_3,3,S001,site,G1,109.2432319,23.0335927,6
no_copy_3,3,S002,site,G1,109.2585519,23.0703271,6
no_copy_3,3,S003,site,G1,109.1688578,23.0402714,6
no_copy_3,3,S004,site,G1,109.2381714,23.0778414,6
no_copy_3,3,S005,site,G1,109.2283003,23.0561338,6
no_copy_3,3,S006,site,G2,109.1997836,23.007714,6
no_copy_3,3,S007,site,G1,109.1928191,23.0294186,6
no_copy_3,3,S008,site,G1,109.2127472,23.0795113,6
no_copy_3,3,S009,site,G1,109.2541424,23.0552989,6
no_copy_3,3,S010,site,G1,109.2760168,23.0194009,6
no_copy_3,3,S011,site,G3,109.2203356,23.0319231,6
no_copy_3,3,S012,site,G1,109.2831357,23.054464,6
no_copy_3,3,S013,site,G1,109.2713839,23.0310882,6
no_copy_3,3,S014,site,G1,109.2835966,23.0052097,6
no_copy_3,3,S015,site,G1,109.1923786,23.0494548,6
