架次,机型/无人机,电池,访问顺序,箱数,载重/kg,开始/s,返回/s,能耗/kWh
Q2-001,B/U05,B-BAT-01,S001,3,20,0.000,1209.106,1.073972
Q2-002,A/U01,A-BAT-01,S006,2,17,0.000,1313.477,1.311531
Q2-003,A/U02,A-BAT-02,S014→S010,3,20,0.000,2315.339,2.549763
Q2-004,A/U03,A-BAT-03,S005,2,17,0.000,1692.188,2.121287
Q2-005,B/U06,B-BAT-02,S012,3,25,0.000,1922.827,2.752600
Q2-006,A/U04,A-BAT-04,S015,2,22,0.000,1968.653,2.557784
Q2-007,B/U05,B-BAT-03,S002,3,25,1209.106,3025.830,2.713473
Q2-008,A/U01,A-BAT-05,S007→S015,3,20,1313.477,3623.523,2.636426
Q2-009,C/U07,C-BAT-01,S001,7,78,0.000,1560.175,2.995776
Q2-010,B/U06,B-BAT-04,S008,2,20,1922.827,3824.669,2.763431
Q2-011,A/U03,A-BAT-06,S007,2,22,1692.188,3419.655,1.970964
Q2-012,A/U04,A-BAT-01,S013→S009,3,20,2192.363,4380.109,2.743427
Q2-013,A/U02,A-BAT-03,S013→S014,2,16,2805.004,5150.305,2.737827
Q2-014,A/U03,A-BAT-04,S005,2,22,3419.655,5111.843,2.192948
Q2-015,C/U08,C-BAT-02,S006,4,42,0.000,1429.553,2.327770
Q2-016,C/U08,C-BAT-03,S002,5,56,1429.553,3471.395,5.721356
Q2-017,A/U01,A-BAT-02,S003,2,22,3623.523,5886.260,3.083777
Q2-018,B/U05,B-BAT-01,S005,2,20,3025.830,4541.999,1.834490
Q2-019,C/U07,C-BAT-04,S001→S010,7,78,1560.175,3880.934,4.850608
Q2-020,C/U08,C-BAT-02,S007→S003,7,65,3471.395,6165.076,6.101283
Q2-021,B/U06,B-BAT-02,S008,3,25,3824.669,5786.510,2.975207
Q2-022,A/U04,A-BAT-06,S009,2,22,4489.045,6177.684,2.331354
Q2-023,B/U05,B-BAT-03,S011,3,25,4868.335,6056.760,1.073937
Q2-024,C/U07,C-BAT-01,S004,6,59,3880.934,6181.988,6.152860
