架次,机型/无人机,电池,访问顺序,箱数,开始/s,返回/s,能耗/kWh,返航SOC
Q3-001,B/U05,B-BAT-01,S012,3,0.000,1922.827,2.752600,0.3119
Q3-002,C/U07,C-BAT-01,S010,3,0.000,1668.732,3.230066,0.5962
Q3-003,B/U06,B-BAT-02,S014,3,0.000,1869.748,2.140291,0.4649
Q3-008,A/U02,A-BAT-02,S006,2,0.000,1313.477,1.311531,0.7085
Q3-010,A/U03,A-BAT-03,S001,2,0.000,1250.907,1.282338,0.7150
Q3-011,A/U04,A-BAT-04,S001,2,0.000,1250.907,1.282338,0.7150
Q3-G3-1,C/U08,C-BAT-02,S002,6,0.000,2107.842,5.853206,0.2683
Q3-H2-2,A/U01,A-BAT-01,S013,2,0.000,1612.163,1.895719,0.5787
Q3-012,A/U03,A-BAT-05,S001,2,1250.907,2501.814,1.282338,0.7150
Q3-013,A/U04,A-BAT-06,S006,2,1250.907,2564.384,1.357012,0.6984
Q3-006,C/U07,C-BAT-03,S004,6,1668.732,3969.787,6.152860,0.2309
Q3-014,B/U06,B-BAT-03,S006,2,1869.748,3077.018,1.138117,0.7155
Q3-007,C/U08,C-BAT-04,S001,7,2107.842,3668.017,2.917588,0.6353
Q3-G2-2,A/U02,A-BAT-04,S002,2,2121.360,4125.135,3.018750,0.3292
Q3-009,A/U01,A-BAT-03,S007,2,2131.068,3858.535,1.905383,0.5766
Q3-H1-2,B/U05,B-BAT-04,S007,2,2163.999,3740.309,1.656522,0.5859
Q3-H2-1,A/U03,A-BAT-02,S013,1,2501.814,4053.977,1.924542,0.5723
Q3-H1-1,A/U04,A-BAT-01,S007,1,2677.816,4345.283,1.819856,0.5956
Q3-023,B/U06,B-BAT-02,S011,3,3463.874,4652.299,1.073937,0.7315
Q3-016,C/U08,C-BAT-01,S003,6,3668.017,6104.195,6.324499,0.2094
Q3-018,B/U05,B-BAT-01,S015,3,3782.287,5610.614,2.307529,0.4231
Q3-017,C/U07,C-BAT-02,S008,5,4642.272,6841.983,5.836021,0.2705
Q3-026,B/U06,B-BAT-03,S003,2,4652.299,6672.908,2.424255,0.3939
Q3-M002,C/U08,C-BAT-03,S001→S005,8,6602.642,8909.514,4.877943,0.3903
Q3-G1-2,B/U06,B-BAT-02,S009,3,7060.419,8618.882,2.096265,0.4759
