项目,2组 G1,2组 G2,3组 G1,3组 G2,3组 G3
服务区,S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S012、S013、S014、S015,S011,S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S013、S014、S015,S011,S012
运输任务数,24,1,23,1,1
中继任务,R-001、R-002、R-003、R-004、R-005、R-006,—,R-001、R-002、R-003、R-004、R-005、R-006,—,R-001
A型机,4,0,4,0,0
B型机,2,1,2,1,1
C型机,2,0,2,0,0
A型电池,6,0,6,0,0
B型电池,4,1,3,1,1
C型电池,4,0,4,0,0
中继机,2,0,2,0,1
中继组件,4,0,4,0,1
运输工作量/s,41506.829,1188.425,39584.002,1188.425,1922.827
中继工作量/s,18289.770,0.000,18289.770,0.000,2396.423
