架次,服务区,机型,医/水/食/卫,载重/kg,体积/m³,能耗/kWh,返航SOC,作业时间/s
Q1-001,S001,C,2/3/3/1,78,0.224,2.995776,0.6255,1692.175
Q1-002,S001,C,0/5/0/1,76,0.170,2.917588,0.6353,1494.175
Q1-003,S002,B,1/1/1/0,25,0.067,2.713473,0.3216,1816.724
Q1-004,S002,C,0/3/1/1,56,0.144,5.721356,0.2848,2041.842
Q1-005,S003,B,1/1/1/0,25,0.067,2.780078,0.3050,2080.610
Q1-006,S003,C,0/3/1/1,56,0.144,5.765365,0.2793,2370.178
Q1-007,S004,C,1/3/1/1,59,0.156,6.152860,0.2309,2301.055
Q1-008,S005,C,1/3/1/1,59,0.156,4.222137,0.4722,1877.189
Q1-009,S006,C,1/3/1/1,59,0.156,2.597936,0.6753,1561.553
Q1-010,S007,C,1/2/1/1,45,0.129,3.411004,0.5736,1907.601
Q1-011,S008,B,1/1/1/0,25,0.067,2.975207,0.2562,1961.842
Q1-012,S008,B,0/1/0/1,20,0.062,2.763431,0.3091,1901.842
Q1-013,S009,B,1/1/1/0,25,0.067,2.096265,0.4759,1558.463
Q1-014,S010,B,1/1/1/0,25,0.067,1.823217,0.5442,1555.404
Q1-015,S011,B,1/1/1/0,25,0.067,1.073937,0.7315,1188.425
Q1-016,S012,B,1/1/1/0,25,0.067,2.752600,0.3119,1922.827
Q1-017,S013,B,1/1/1/0,25,0.067,1.824828,0.5438,1510.512
Q1-018,S014,B,1/1/1/0,25,0.067,2.140291,0.4649,1869.748
Q1-019,S015,B,1/1/1/0,25,0.067,2.307529,0.4231,1828.328
