货箱,架次,交付完成/s,硬时限/s,期望送达/s,硬时限裕量/s
S001-FOD-01,Q2-009,1248.273,—,7200,—
S001-FOD-02,Q2-009,1248.273,—,7200,—
S001-FOD-03,Q2-019,2736.448,—,7200,—
S001-HYG-01,Q2-009,1248.273,—,10800,—
S001-HYG-02,Q2-019,2736.448,—,10800,—
S001-MED-01,Q2-001,917.676,3600,3600,2682.324
S001-MED-02,Q2-001,917.676,3600,3600,2682.324
S001-WAT-01,Q2-001,917.676,3600,3600,2682.324
S001-WAT-02,Q2-009,1248.273,—,3600,—
S001-WAT-03,Q2-009,1248.273,—,3600,—
S001-WAT-04,Q2-019,2736.448,—,3600,—
S001-WAT-05,Q2-009,1248.273,—,3600,—
S001-WAT-06,Q2-019,2736.448,—,3600,—
S001-WAT-07,Q2-009,1248.273,—,3600,—
S001-WAT-08,Q2-019,2736.448,—,3600,—
S002-FOD-01,Q2-016,2850.884,—,7200,—
S002-FOD-02,Q2-007,2429.408,—,7200,—
S002-HYG-01,Q2-016,2850.884,—,10800,—
S002-MED-01,Q2-007,2429.408,3600,3600,1170.592
S002-WAT-01,Q2-016,2850.884,3600,3600,749.116
S002-WAT-02,Q2-016,2850.884,—,3600,—
S002-WAT-03,Q2-007,2429.408,—,3600,—
S002-WAT-04,Q2-016,2850.884,—,3600,—
S003-FOD-01,Q2-017,5032.864,—,10800,—
S003-FOD-02,Q2-020,5374.447,—,10800,—
S003-HYG-01,Q2-020,5374.447,—,14400,—
S003-MED-01,Q2-020,5374.447,7200,7200,1825.553
S003-WAT-01,Q2-020,5374.447,7200,7200,1825.553
S003-WAT-02,Q2-020,5374.447,—,7200,—
S003-WAT-03,Q2-017,5032.864,—,7200,—
S003-WAT-04,Q2-020,5374.447,—,7200,—
S004-FOD-01,Q2-024,5464.431,—,10800,—
S004-HYG-01,Q2-024,5464.431,—,14400,—
S004-MED-01,Q2-024,5464.431,7200,7200,1735.569
S004-WAT-01,Q2-024,5464.431,7200,7200,1735.569
S004-WAT-02,Q2-024,5464.431,—,7200,—
S004-WAT-03,Q2-024,5464.431,—,7200,—
S005-FOD-01,Q2-014,4548.506,—,14400,—
S005-HYG-01,Q2-018,4066.671,—,18000,—
S005-MED-01,Q2-004,1128.851,10800,10800,9671.149
S005-WAT-01,Q2-018,4066.671,10800,10800,6733.329
S005-WAT-02,Q2-014,4548.506,—,10800,—
S005-WAT-03,Q2-004,1128.851,—,10800,—
S006-FOD-01,Q2-015,1077.421,—,7200,—
S006-HYG-01,Q2-015,1077.421,—,10800,—
S006-MED-01,Q2-002,935.502,3600,3600,2664.498
S006-WAT-01,Q2-015,1077.421,3600,3600,2522.579
S006-WAT-02,Q2-015,1077.421,—,3600,—
S006-WAT-03,Q2-002,935.502,—,3600,—
S007-FOD-01,Q2-011,2833.562,—,7200,—
S007-HYG-01,Q2-020,4735.155,—,10800,—
S007-MED-01,Q2-008,2484.850,3600,3600,1115.150
S007-WAT-01,Q2-008,2484.850,3600,3600,1115.150
S007-WAT-02,Q2-011,2833.562,—,3600,—
S008-FOD-01,Q2-021,5115.816,—,10800,—
S008-HYG-01,Q2-010,3153.974,—,14400,—
S008-MED-01,Q2-021,5115.816,7200,7200,2084.184
S008-WAT-01,Q2-010,3153.974,7200,7200,4046.026
S008-WAT-02,Q2-021,5115.816,—,7200,—
S009-FOD-01,Q2-022,5614.954,—,14400,—
S009-MED-01,Q2-012,3817.379,10800,10800,6982.621
S009-WAT-01,Q2-022,5614.954,10800,10800,5185.046
S010-FOD-01,Q2-019,3374.372,—,7200,—
S010-MED-01,Q2-003,1765.429,3600,3600,1834.571
S010-WAT-01,Q2-019,3374.372,3600,3600,225.628
S011-FOD-01,Q2-023,5774.734,—,14400,—
S011-MED-01,Q2-023,5774.734,10800,10800,5025.266
S011-WAT-01,Q2-023,5774.734,10800,10800,5025.266
S012-FOD-01,Q2-005,1271.343,—,7200,—
S012-MED-01,Q2-005,1271.343,3600,7200,2328.657
S012-WAT-01,Q2-005,1271.343,3600,3600,2328.657
S013-FOD-01,Q2-013,3858.619,—,7200,—
S013-MED-01,Q2-012,3305.978,3600,3600,294.022
S013-WAT-01,Q2-012,3305.978,3600,3600,294.022
S014-FOD-01,Q2-013,4432.663,—,7200,—
S014-MED-01,Q2-003,1302.756,3600,7200,2297.244
S014-WAT-01,Q2-003,1302.756,3600,3600,2297.244
S015-FOD-01,Q2-006,1257.767,—,14400,—
S015-MED-01,Q2-008,2912.636,7200,7200,4287.364
S015-WAT-01,Q2-006,1257.767,10800,10800,9542.233
