资源,使用次数,累计占用/s,执行任务（省略题号前缀，按开始先后）
U01,2,3339.630,H2-2、009
U02,2,3317.252,008、G2-2
U03,3,4053.977,010、012、H2-1
U04,3,4231.850,011、013、H1-1
U05,3,5327.464,001、H1-2、018
U06,5,7844.515,003、014、023、026、G1-2
U07,3,6169.499,002、006、017
U08,4,8411.067,G3-1、007、016、M002
A-BAT-01,2,5353.018,H2-2、H1-1
A-BAT-02,2,4800.505,008、H2-1
A-BAT-03,2,4899.271,010、009
A-BAT-04,2,5497.219,011、G2-2
A-BAT-05,1,2121.360,012
A-BAT-06,1,2205.502,013
B-BAT-01,2,7277.210,001、018
B-BAT-02,3,8917.849,003、023、G1-2
B-BAT-03,2,6104.908,014、026
B-BAT-04,1,2960.803,H1-2
C-BAT-01,2,8359.272,002、016
C-BAT-02,2,9140.053,G3-1、017
C-BAT-03,2,9262.103,006、M002
C-BAT-04,1,3183.688,007
